iter	Passed	Remaining
574	1861	1376
575	1863	1371
576	1865	1367
577	1866	1362
578	1868	1358
579	1870	1354
580	1874	1351
581	1875	1347
582	1877	1343
583	1879	1338
584	1881	1334
585	1883	1330
586	1884	1326
587	1888	1323
588	1890	1319
589	1892	1314
590	1893	1310
591	1895	1306
592	1897	1302
593	1899	1298
594	1902	1295
595	1904	1291
596	1906	1286
597	1908	1282
598	1910	1278
599	1912	1274
600	1914	1270
601	1916	1266
602	1918	1262
603	1919	1258
604	1921	1254
605	1923	1250
606	1924	1246
607	1926	1242
608	1928	1237
609	1930	1234
610	1932	1230
611	1934	1226
612	1936	1222
613	1938	1218
614	1939	1214
615	1941	1210
616	1943	1206
617	1945	1202
618	1947	1198
619	1949	1194
620	1951	1190
621	1952	1186
622	1954	1182
623	1956	1178
624	1957	1174
625	1961	1171
626	1963	1167
627	1964	1163
628	1966	1159
629	1968	1155
630	1969	1151
631	1971	1147
632	1973	1143
633	1976	1140
634	1978	1137
635	1980	1133
636	1982	1129
637	1984	1126
638	1986	1122
639	1988	1118
640	1991	1115
641	1993	1111
642	1995	1107
643	1996	1103
644	1999	1100
645	2000	1096
646	2002	1092
647	2005	1089
648	2007	1085
649	2009	1082
650	2011	1078
651	2012	1074
652	2014	1070
653	2016	1066
654	2017	1062
655	2020	1059
656	2022	1056
657	2024	1052
658	2026	1048
659	2029	1045
660	2030	1041
661	2033	1038
662	2036	1034
663	2037	1031
664	2040	1027
665	2041	1023
666	2043	1020
667	2045	1016
668	2046	1012
669	2050	1010
670	2052	1006
671	2054	1002
672	2055	998
673	2057	995
674	2059	991
675	2060	987
676	2062	984
677	2065	981
678	2067	977
679	2069	973
680	2070	970
681	2072	966
682	2074	962
683	2076	959
684	2079	956
685	2081	952
686	2083	949
687	2084	945
688	2086	941
689	2088	938
690	2090	934
691	2092	931
692	2094	928
693	2096	924
694	2098	920
695	2099	917
696	2101	913
697	2102	909
698	2104	906
699	2106	902
700	2109	899
701	2111	896
702	2112	892
703	2114	889
704	2116	885
705	2117	881
706	2119	878
707	2122	875
708	2124	871
709	2125	868
710	2127	864
711	2129	861
712	2131	857
713	2133	854
714	2134	850
715	2137	847
716	2139	844
717	2141	841
718	2143	837
719	2144	834
720	2146	830
721	2147	827
722	2149	823
723	2152	820
724	2154	817
725	2156	813
726	2158	810
727	2160	807
728	2162	803
729	2163	800
730	2166	797
731	2169	794
732	2170	790
733	2172	787
734	2174	783
735	2175	780
736	2177	776
737	2178	773
738	2182	770
739	2183	767
740	2185	763
741	2187	760
742	2188	757
743	2190	753
744	2192	750
745	2193	746
746	2196	743
747	2198	740
748	2200	737
749	2202	734
750	2204	731
751	2207	728
752	2211	725
753	2213	722
754	2215	718
755	2217	715
756	2218	712
757	2220	708
758	2222	705
759	2224	702
760	2226	699
761	2228	696
762	2230	692
763	2231	689
764	2233	686
765	2235	682
766	2236	679
767	2240	676
768	2242	673
769	2244	670
770	2246	667
771	2248	664
772	2250	660
773	2251	657
774	2255	654
775	2257	651
776	2259	648
777	2261	645
778	2263	642
779	2265	639
780	2267	635
781	2270	632
782	2272	629
783	2273	626
784	2275	623
785	2277	619
786	2278	616
787	2280	613
788	2283	610
789	2285	607
790	2287	604
791	2288	601
792	2290	597
793	2292	594
794	2293	591
795	2295	588
796	2298	585
797	2300	582
798	2301	579
799	2303	575
800	2305	572
801	2306	569
802	2308	566
803	2309	563
804	2312	560
805	2314	557
806	2316	553
807	2317	550
808	2319	547
809	2321	544
810	2323	541
811	2324	538
812	2327	535
813	2329	532
814	2331	529
815	2333	526
816	2335	523
817	2337	520
818	2340	517
819	2342	514
820	2344	511
821	2346	508
822	2347	504
823	2350	501
824	2351	498
825	2353	495
826	2356	492
827	2358	489
828	2360	486
829	2361	483
830	2363	480
831	2365	477
832	2366	474
833	2368	471
834	2371	468
835	2373	465
836	2374	462
837	2376	459
838	2378	456
839	2379	453
840	2381	450
841	2383	447
842	2386	444
843	2387	441
844	2389	438
845	2391	435
846	2393	432
847	2395	429
848	2397	426
849	2400	423
850	2401	420
851	2403	417
852	2405	414
853	2407	411
854	2408	408
855	2410	405
856	2412	402
857	2415	399
858	2417	396
859	2419	393
860	2421	390
861	2423	387
862	2424	384
863	2426	381
864	2430	379
865	2432	376
866	2433	373
867	2435	370
868	2437	367
869	2438	364
870	2440	361
871	2442	358
872	2445	355
873	2447	352
874	2449	349
875	2450	346
876	2453	344
877	2454	341
878	2456	338
879	2459	335
880	2461	332
881	2463	329
882	2464	326
883	2466	323
884	2468	320
885	2470	317
886	2471	314
887	2475	312
888	2476	309
889	2478	306
890	2480	303
891	2482	300
892	2484	297
893	2485	294
894	2488	291
895	2490	289
896	2492	286
897	2494	283
898	2496	280
899	2498	277
900	2500	274
901	2505	272
902	2508	269
903	2514	267
904	2519	264
905	2521	261
906	2523	258
907	2525	255
908	2527	253
909	2529	250
910	2531	247
911	2536	244
912	2538	241
913	2539	238
914	2541	236
915	2543	233
916	2545	230
917	2549	227
918	2552	224
919	2554	222
920	2557	219
921	2560	216
922	2562	213
923	2564	210
924	2566	208
925	2568	205
926	2571	202
927	2573	199
928	2577	196
929	2579	194
930	2581	191
931	2583	188
932	2586	185
933	2588	182
934	2592	180
935	2595	177
936	2597	174
937	2599	171
938	2601	169
939	2603	166
940	2607	163
941	2609	160
942	2612	157
943	2614	155
944	2615	152
945	2618	149
946	2619	146
947	2623	143
948	2625	141
949	2627	138
950	2629	135
951	2630	132
952	2632	129
953	2634	127
954	2639	124
955	2641	121
956	2643	118
957	2646	116
958	2649	113
959	2655	110
960	2658	107
961	2662	105
962	2664	102
963	2669	99
964	2672	96
965	2674	94
966	2676	91
967	2678	88
968	2679	85
969	2683	82
970	2685	80
971	2687	77
972	2689	74
973	2690	71
974	2692	69
975	2694	66
976	2697	63
977	2699	60
978	2701	57
979	2703	55
980	2705	52
981	2707	49
982	2708	46
983	2710	44
984	2713	41
985	2715	38
986	2717	35
987	2719	33
988	2720	30
989	2722	27
990	2723	24
991	2725	21
992	2727	19
993	2729	16
994	2731	13
995	2732	10
996	2734	8
997	2736	5
998	2737	2
999	2740	0
